date,home_team,away_team,home_score,away_score,game_type
2026-02-03,bishop-kenny,episcopal,3,4,regular
2026-02-05,creekside,episcopal,11,2,regular
2026-02-10,episcopal,trinity-catholic,4,7,regular
2026-02-10,fletcher,providence,3,6,regular
2026-02-10,tocoi-creek,bolles,9,2,regular
2026-02-10,trinity-christian,suwannee,4,2,regular
2026-02-11,fernandina-beach,bishop-snyder,0,2,regular
2026-02-11,suwannee,episcopal,7,6,regular
2026-02-12,creekside,trinity-christian,2,0,regular
2026-02-12,providence,sandalwood,3,1,regular
2026-02-13,bolles,oakleaf,11,3,regular
2026-02-13,flagler-palm-coast,episcopal,6,5,regular
2026-02-13,providence,university-christian,7,6,regular
2026-02-14,lincoln,bishop-snyder,3,4,regular
2026-02-17,bishop-snyder,baldwin,11,0,regular
2026-02-17,episcopal,west-nassau,10,0,regular
2026-02-17,providence,palatka,12,5,regular
2026-02-17,trinity-christian,beachside,10,1,regular
2026-02-19,bolles,st-joseph-academy,8,4,regular
2026-02-19,columbia,episcopal,13,3,regular
2026-02-19,st-johns-country-day,providence,10,1,regular
2026-02-20,bishop-snyder,suwannee,5,1,regular
2026-02-20,bolles,covenant-school,7,4,regular
2026-02-20,episcopal,fletcher,1,4,regular
2026-02-20,lowndes-ga,trinity-christian,3,11,regular
2026-02-21,john-carroll,providence,2,4,regular
2026-02-21,trinity-christian,richmond-hill-ga,5,0,regular
2026-02-24,columbia,providence,4,6,regular
2026-02-24,creekside,bolles,6,2,regular
2026-02-24,episcopal,yulee,11,1,regular
2026-02-24,trinity-christian,tocoi-creek,5,1,regular
2026-02-26,bolles,baldwin,1,11,regular
2026-02-27,central-al,bishop-snyder,3,8,regular
2026-02-27,creekside,providence,7,0,regular
2026-02-27,newnan,bishop-snyder,0,10,regular
2026-02-27,st-john-paul-ii,episcopal,9,0,regular
2026-02-27,trinity-christian,north-marion,7,2,regular
2026-02-28,bishop-snyder,northridge-al,1,4,regular
2026-02-28,bolles,university-christian,5,3,regular
2026-02-28,cardinal-gibbons,episcopal,1,5,regular
2026-02-28,morgan-county-ga,bishop-snyder,1,2,regular
2026-02-28,trinity-christian,maclay,11,1,regular
2026-03-03,clay,providence,0,8,regular
2026-03-03,university-christian,trinity-christian,2,9,regular
2026-03-04,episcopal,santa-fe,10,4,regular
2026-03-04,fernandina-beach,bolles,0,1,regular
2026-03-05,bishop-snyder,sandalwood,2,1,regular
2026-03-05,bolles,bishop-kenny,2,1,regular
2026-03-05,episcopal,beachside,8,1,regular
2026-03-05,flagler-palm-coast,providence,6,10,regular
2026-03-05,st-johns-country-day,trinity-christian,4,3,regular
2026-03-06,providence,bishop-snyder,2,12,regular
2026-03-06,trinity-christian,st-johns-country-day,10,8,regular
2026-03-09,ponte-vedra,providence,7,15,regular
2026-03-10,naples,bolles,1,17,regular
2026-03-11,bolles,knoxville-catholic-tn,10,5,regular
2026-03-11,providence,winter-park,6,2,regular
2026-03-11,stanton,episcopal,0,12,regular
2026-03-12,barron-collier,bolles,1,3,regular
2026-03-12,farragut-tn,bishop-snyder,0,11,regular
2026-03-12,providence,farragut-tn,2,5,regular
2026-03-12,south-walton,trinity-christian,7,3,regular
2026-03-13,christs-church-academy,episcopal,5,14,regular
2026-03-13,hewitt-trussville-al,providence,6,0,regular
2026-03-13,south-walton,bishop-snyder,1,2,regular
2026-03-13,trinity-christian,lincoln,12,3,regular
2026-03-13,trinity-christian,magnolia-heights-ms,4,3,regular
2026-03-14,bishop-snyder,hartselle,6,5,regular
2026-03-17,episcopal,bartram-trail,2,6,regular
2026-03-17,trinity-christian,columbia,4,1,regular
2026-03-18,bishop-snyder,west-broward,0,2,regular
2026-03-18,bolles,bartram-trail,4,9,regular
2026-03-18,north-marion,providence,3,1,regular
2026-03-18,providence,north-marion,1,2,regular
2026-03-18,st-francis,episcopal,0,8,regular
2026-03-19,bishop-snyder,columbia,1,3,regular
2026-03-19,bolles,ponte-vedra,10,7,regular
2026-03-19,trinity-christian,jesuit,2,5,regular
2026-03-20,bolles,episcopal,2,3,regular
2026-03-20,trinity-christian,west-broward,5,1,regular
2026-03-24,bolles,bishop-snyder,9,11,regular
2026-03-24,deland,providence,2,12,regular
2026-03-25,bishop-snyder,fletcher,8,1,regular
2026-03-25,edmond-memorial,trinity-christian,3,4,regular
2026-03-25,pedro-menendez,episcopal,2,13,regular
2026-03-26,bolles,sandalwood,3,2,regular
2026-03-26,orange-lutheran-ca,trinity-christian,3,2,regular
2026-03-26,providence,episcopal,3,5,regular
2026-03-27,bartram-trail,bishop-snyder,5,4,regular
2026-03-27,bolles,providence,8,1,regular
2026-03-27,don-bosco-prep-nj,trinity-christian,11,6,regular
2026-03-27,sandalwood,episcopal,4,3,regular
2026-03-28,baylor-school,trinity-christian,7,9,regular
2026-03-30,bolles,st-johns-country-day,3,2,regular
2026-03-30,episcopal,fort-dorchester,2,0,regular
2026-03-30,providence,columbia,2,1,regular
2026-03-31,beachside,providence,5,3,regular
2026-03-31,bishop-snyder,ponte-vedra,7,1,regular
2026-03-31,bolles,mount-horeb-wi,16,1,regular
2026-03-31,university-christian,episcopal,3,14,regular
2026-04-01,bishop-snyder,trinity-catholic,2,5,regular
2026-04-01,episcopal,st-augustine,6,1,regular
2026-04-01,nease,bolles,2,15,regular
2026-04-02,providence,ponte-vedra,3,2,regular
2026-04-02,trinity-christian,clay,8,1,regular
2026-04-03,clay,trinity-christian,0,14,regular
2026-04-06,episcopal,eagles-view,25,5,regular
2026-04-07,bishop-snyder,north-oconee,6,1,regular
2026-04-07,bolles,parkview-ga,2,0,regular
2026-04-07,episcopal,clay,0,5,regular
2026-04-07,trinity-christian,baldwin,10,0,regular
2026-04-08,bishop-snyder,north-gwinnett-ga,9,3,regular
2026-04-08,bolles,north-oconee,10,7,regular
2026-04-09,bartram-trail,providence,6,0,regular
2026-04-09,bishop-snyder,parkview-ga,9,2,regular
2026-04-09,bolles,north-gwinnett-ga,11,6,regular
2026-04-09,suwannee,trinity-christian,13,3,regular
2026-04-10,nease,episcopal,2,11,regular
2026-04-14,providence,episcopal,5,9,district-tournament
2026-04-16,bishop-snyder,bolles,8,1,regular
2026-04-16,trinity-christian,episcopal,9,0,district-tournament
2026-04-17,trinity-christian,bishop-snyder,11,10,district-tournament
